DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             0.890               1.099            -0.208         4.277
RESSURF            0.888               1.103            -0.215         3.349
SOLIN            340.267             340.267             0.000         0.000
AAM            1.405e+26           1.428e+26        -2.325e+24      -999.000
CHI_200            0.006               0.007            -0.001         0.400
CLDHGH            29.016              28.944             0.072         1.323
CLDLOW            33.198              33.254            -0.057         1.268
CLDMED            15.890              15.739             0.151         1.066
CLDTOT            51.203              51.168             0.035         1.332
EKE_850           30.482              30.313             0.170         1.226
EP             9.099e-05           1.219e-04        -3.086e-05         0.298
FLNS              58.718              58.041             0.677         1.484
FLNSC             81.327              80.333             0.994         1.632
FLNT             233.375             234.653            -1.278         2.205
FLNTC            262.366             263.569            -1.203         1.463
FSDS             183.463             182.737             0.726         3.063
FSDSC            246.227             245.418             0.809         1.134
FSNS             158.976             160.054            -1.078         4.805
FSNSC            215.160             216.638            -1.478         6.615
FSNSC_ICE         54.165              53.829             0.336         3.281
FSNSC_LAND       179.601             179.145             0.456         1.102
FSNT             234.265             235.752            -1.487         4.659
FSNTC            286.643             288.595            -1.952         6.423
ICEAREA           22.840              21.508             1.331         0.045
LHFLX             82.252              83.840            -1.588         4.579
LWCF              28.992              28.916             0.076         1.383
PRECT              2.820               2.875            -0.056         0.296
PRECT_LAND         2.397               2.387             0.011         0.206
PRECT_OCEAN        3.110               3.192            -0.082         0.339
PREH2O            26.652              27.793            -1.142         1.543
PREH2O_OCEAN      30.853              32.203            -1.350         1.794
PSI_200           -0.034              -0.034            -0.000         0.146
PS               985.499             985.611            -0.112         0.496
PSL             1011.179            1011.270            -0.092         0.494
QFLX               2.820               2.875            -0.056         0.144
SHFLX             17.117              17.069             0.048         1.424
SNOWHLND          11.196              11.268            -0.071         2.398
SST               20.754              21.362            -0.608         0.721
STRESS_MAG         0.068               0.066             0.002         0.006
SWCF             -52.378             -52.843             0.465         3.132
T_850            282.309             282.886            -0.577         0.666
TGCLDLWP         135.383             136.659            -1.276         8.011
TGCLDIWP          17.095              16.872             0.222         0.932
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.208             288.780            -0.573         0.684
TS               288.885             289.465            -0.580         0.709
TS_LAND          283.308             283.799            -0.492         0.623
U_200             15.493              15.698            -0.205         0.919
VT_850             0.167               0.114             0.053         0.544
Z3_500            56.849              56.988            -0.139         0.150
