DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             8.041               8.763            -0.722         6.467
RESSURF            7.405               7.884            -0.478         5.998
SOLIN            350.496             350.496             0.000         0.000
AAM            1.463e+26           1.478e+26        -1.500e+24      -999.000
CHI_200           -0.033              -0.031            -0.002         0.465
CLDHGH            28.374              28.388            -0.014         1.970
CLDLOW            32.546              32.636            -0.090         1.744
CLDMED            16.081              16.018             0.063         1.643
CLDTOT            50.361              50.423            -0.062         2.037
EKE_850           27.642              27.333             0.308         2.103
EP             5.155e-03           7.483e-03        -2.328e-03         0.497
FLNS              58.305              57.506             0.799         2.054
FLNSC             80.957              79.814             1.143         2.043
FLNT             230.424             231.683            -1.260         2.882
FLNTC            258.985             260.204            -1.219         1.618
FSDS             190.925             189.778             1.147         5.015
FSDSC            256.468             255.534             0.935         1.582
FSNS             163.182             164.772            -1.591         7.372
FSNSC            221.826             224.296            -2.470         9.715
FSNSC_ICE         29.194              25.267             3.927         4.281
FSNSC_LAND       145.247             145.112             0.135         1.781
FSNT             238.465             240.447            -1.981         7.094
FSNTC            292.934             295.869            -2.935         9.444
ICEAREA           21.136              20.057             1.078         0.045
LHFLX             82.647              84.578            -1.931         6.097
LWCF              28.561              28.521             0.040         1.974
PRECT              2.825               2.890            -0.065         0.475
PRECT_LAND         2.342               2.362            -0.020         0.350
PRECT_OCEAN        3.153               3.234            -0.081         0.536
PREH2O            25.135              26.376            -1.241         1.844
PREH2O_OCEAN      30.225              31.705            -1.480         2.133
PSI_200           -0.001              -0.000            -0.000         0.158
PS               985.351             985.472            -0.122         0.734
PSL             1011.343            1011.437            -0.094         0.748
QFLX               2.831               2.898            -0.067         0.181
SHFLX             14.825              14.805             0.020         1.878
SNOWHLND          11.957              12.023            -0.066         2.427
SST               20.749              21.381            -0.632         0.772
STRESS_MAG         0.072               0.070             0.001         0.008
SWCF             -54.469             -55.422             0.953         4.983
T_850            280.650             281.226            -0.576         0.694
TGCLDLWP         135.475             137.184            -1.709        12.207
TGCLDIWP          17.493              17.289             0.204         1.379
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           286.287             286.856            -0.570         0.715
TS               286.922             287.495            -0.573         0.743
TS_LAND          276.600             277.082            -0.482         0.699
U_200             16.178              16.277            -0.099         1.164
VT_850            -0.653              -0.681             0.028         0.780
Z3_500            56.587              56.735            -0.148         0.167
