DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            -9.140              -9.438             0.299         3.469
RESSURF          -10.097             -10.391             0.295         5.767
SOLIN            330.385             330.385             0.000         0.000
AAM            1.192e+26           1.235e+26        -4.292e+24      -999.000
CHI_200            0.036               0.039            -0.003         0.583
CLDHGH            30.451              30.372             0.080         2.055
CLDLOW            35.805              35.826            -0.021         1.759
CLDMED            15.904              15.698             0.206         1.659
CLDTOT            54.277              54.200             0.077         1.953
EKE_850           27.691              27.823            -0.132         1.759
EP             1.254e-02           1.184e-02         6.956e-04         0.503
FLNS              57.418              56.763             0.654         1.932
FLNSC             80.547              79.602             0.945         1.820
FLNT             236.668             237.869            -1.201         2.932
FLNTC            266.492             267.647            -1.156         1.588
FSDS             171.152             170.736             0.416         4.148
FSDSC            235.220             234.516             0.704         1.142
FSNS             151.130             151.579            -0.448         4.330
FSNSC            208.613             209.072            -0.459         3.846
FSNSC_ICE         44.519              47.551            -3.032         3.616
FSNSC_LAND       215.056             214.452             0.604         1.661
FSNT             227.528             228.430            -0.902         4.126
FSNTC            281.368             282.340            -0.972         3.684
ICEAREA           23.848              22.432             1.416         0.065
LHFLX             84.301              85.775            -1.474         5.924
LWCF              29.824              29.779             0.045         2.105
PRECT              2.881               2.933            -0.052         0.476
PRECT_LAND         2.443               2.423             0.020         0.330
PRECT_OCEAN        3.168               3.248            -0.080         0.543
PREH2O            28.796              29.904            -1.108         1.511
PREH2O_OCEAN      31.590              32.844            -1.254         1.719
PSI_200           -0.075              -0.073            -0.001         0.267
PS               985.710             985.818            -0.109         0.652
PSL             1011.063            1011.154            -0.090         0.652
QFLX               2.893               2.945            -0.052         0.173
SHFLX             19.508              19.432             0.076         2.269
SNOWHLND          10.195              10.271            -0.076         2.448
SST               20.480              21.063            -0.583         0.687
STRESS_MAG         0.079               0.077             0.002         0.009
SWCF             -53.840             -53.910             0.070         3.743
T_850            284.257             284.845            -0.588         0.697
TGCLDLWP         141.529             142.443            -0.914        12.894
TGCLDIWP          16.209              16.012             0.197         1.429
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           290.197             290.779            -0.582         0.723
TS               290.876             291.464            -0.588         0.751
TS_LAND          290.046             290.587            -0.541         0.688
U_200             13.327              13.763            -0.436         1.486
VT_850             1.002               0.927             0.075         0.833
Z3_500            57.209              57.342            -0.133         0.152
