DIAG SET 1: MAM MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             2.251               2.099             0.152         3.824
RESSURF           -0.505              -0.495            -0.011         5.568
SOLIN            338.254             338.254             0.000         0.000
AAM            1.572e+26           1.553e+26         1.851e+24      -999.000
CHI_200            0.008               0.007             0.001         0.613
CLDHGH            28.861              28.704             0.157         2.073
CLDLOW            31.511              31.573            -0.062         1.581
CLDMED            15.834              15.640             0.194         1.558
CLDTOT            49.701              49.654             0.047         1.903
EKE_850           28.591              28.076             0.514         1.964
EP             2.036e-02           1.951e-02         8.480e-04         0.458
FLNS              60.179              59.561             0.618         1.904
FLNSC             82.185              81.210             0.975         1.927
FLNT             232.783             234.184            -1.401         3.057
FLNTC            261.995             263.218            -1.223         1.690
FSDS             185.254             184.748             0.506         3.794
FSDSC            244.166             243.464             0.701         1.146
FSNS             159.951             160.839            -0.888         4.605
FSNSC            212.665             213.714            -1.049         5.448
FSNSC_ICE         39.457              39.867            -0.410         3.443
FSNSC_LAND       190.551             190.132             0.419         1.937
FSNT             235.034             236.283            -1.250         4.431
FSNTC            284.243             285.725            -1.482         5.338
ICEAREA           22.429              21.068             1.362         0.053
LHFLX             82.299              83.821            -1.522         6.429
LWCF              29.213              29.034             0.179         2.140
PRECT              2.797               2.851            -0.054         0.438
PRECT_LAND         2.307               2.281             0.027         0.307
PRECT_OCEAN        3.114               3.199            -0.085         0.498
PREH2O            26.222              27.379            -1.157         1.717
PREH2O_OCEAN      30.768              32.164            -1.395         2.008
PSI_200           -0.021              -0.021             0.000         0.224
PS               985.457             985.571            -0.114         0.655
PSL             1011.174            1011.266            -0.092         0.668
QFLX               2.818               2.871            -0.053         0.195
SHFLX             17.979              17.952             0.027         1.952
SNOWHLND          12.331              12.406            -0.075         2.394
SST               20.782              21.404            -0.622         0.758
STRESS_MAG         0.067               0.065             0.001         0.009
SWCF             -49.209             -49.442             0.232         3.517
T_850            282.235             282.797            -0.563         0.714
TGCLDLWP         129.603             130.553            -0.950        10.589
TGCLDIWP          17.586              17.280             0.306         1.409
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.155             288.726            -0.571         0.756
TS               288.871             289.451            -0.581         0.788
TS_LAND          282.940             283.376            -0.435         0.726
U_200             17.052              16.935             0.117         1.435
VT_850             0.230               0.173             0.058         0.788
Z3_500            56.790              56.929            -0.139         0.170
