DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM             2.580               3.139            -0.559         5.630
RESSURF            6.978               7.585            -0.607         5.525
SOLIN            342.177             342.177             0.000         0.000
AAM            1.395e+26           1.448e+26        -5.336e+24      -999.000
CHI_200            0.018               0.019            -0.002         0.465
CLDHGH            28.354              28.292             0.062         2.119
CLDLOW            32.893              32.971            -0.078         1.637
CLDMED            15.743              15.606             0.137         1.605
CLDTOT            50.435              50.372             0.064         1.938
EKE_850           27.317              27.493            -0.176         1.653
EP            -3.825e-02          -3.902e-02         7.614e-04         0.449
FLNS              58.974              58.342             0.632         1.868
FLNSC             81.622              80.718             0.904         1.703
FLNT             233.558             234.818            -1.260         2.979
FLNTC            261.913             263.140            -1.226         1.584
FSDS             186.719             185.881             0.838         4.400
FSDSC            249.306             248.420             0.886         1.325
FSNS             161.759             163.161            -1.402         6.567
FSNSC            217.699             219.665            -1.967         8.605
FSNSC_ICE         45.615              45.009             0.607         5.269
FSNSC_LAND       166.640             166.017             0.623         1.198
FSNT             236.138             237.957            -1.819         6.237
FSNTC            288.167             290.607            -2.440         8.230
ICEAREA           23.932              22.483             1.449         0.072
LHFLX             79.714              81.205            -1.492         5.237
LWCF              28.355              28.321             0.034         2.192
PRECT              2.774               2.828            -0.053         0.433
PRECT_LAND         2.493               2.481             0.013         0.334
PRECT_OCEAN        2.985               3.065            -0.081         0.485
PREH2O            26.412              27.467            -1.055         1.494
PREH2O_OCEAN      30.352              31.547            -1.195         1.694
PSI_200           -0.044              -0.043            -0.001         0.253
PS               985.476             985.579            -0.104         0.631
PSL             1011.138            1011.227            -0.088         0.627
QFLX               2.736               2.789            -0.052         0.155
SHFLX             16.093              16.028             0.065         1.936
SNOWHLND          10.311              10.381            -0.070         2.437
SST               20.361              20.940            -0.579         0.689
STRESS_MAG         0.071               0.069             0.002         0.007
SWCF             -52.029             -52.650             0.621         4.409
T_850            282.070             282.656            -0.586         0.689
TGCLDLWP         134.919             136.554            -1.635        11.501
TGCLDIWP          17.109              16.921             0.187         1.430
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           288.142             288.713            -0.571         0.694
TS               288.821             289.400            -0.579         0.719
TS_LAND          283.478             284.009            -0.531         0.702
U_200             15.446              15.841            -0.395         1.286
VT_850             0.060               0.012             0.048         0.848
Z3_500            56.802              56.938            -0.136         0.153
