DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -24.622             -25.319             0.697         1.397
RESSURF           -9.177              -9.246             0.069         1.918
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.241               0.011            -0.252         0.369
CLDHGH            25.067              25.121            -0.054         1.094
CLDLOW            30.524              30.875            -0.351         0.902
CLDMED            15.162              14.992             0.170         0.636
CLDTOT            46.413              46.646            -0.234         1.154
EKE_850           33.326              33.515            -0.189         1.047
EP            -2.060e-02          -2.791e-02         7.304e-03         0.150
FLNS              64.530              64.302             0.228         1.208
FLNSC             87.735              87.482             0.253         0.939
FLNT             230.824             231.541            -0.717         1.662
FLNTC            254.602             255.282            -0.680         1.058
FSDS             166.106             165.821             0.285         1.861
FSDSC            219.117             218.812             0.305         0.488
FSNS             137.556             137.346             0.210         1.687
FSNSC            183.339             183.175             0.163         1.214
FSNSC_ICE         47.519              47.876            -0.357         1.889
FSNSC_LAND       165.430             165.215             0.215         1.123
FSNT             206.202             206.222            -0.021         1.499
FSNTC            248.462             248.554            -0.092         1.132
ICEAREA           11.210              11.033             0.177         0.021
LHFLX             60.315              60.481            -0.166         1.806
LWCF              23.779              23.741             0.038         0.957
PRECT              2.079               2.093            -0.014         0.158
PRECT_LAND         1.698               1.700            -0.002         0.135
PRECT_OCEAN        2.656               2.680            -0.024         0.188
PREH2O            19.065              19.406            -0.341         0.538
PREH2O_OCEAN      25.124              25.594            -0.469         0.643
PSI_200           -6.636              -6.787             0.151         0.187
PS               976.702             977.105            -0.403         0.552
PSL             1015.585            1015.980            -0.395         0.552
QFLX               2.058               2.065            -0.007         0.058
SHFLX             21.888              21.808             0.079         1.128
SNOWHLND           4.180               4.333            -0.153         3.234
SST               18.599              18.803            -0.204         0.296
STRESS_MAG         0.050               0.049             0.001         0.005
SWCF             -42.261             -42.332             0.071         1.471
T_850            279.314             279.580            -0.266         0.375
TGCLDLWP         126.316             127.608            -1.292         5.376
TGCLDIWP          19.194              19.101             0.093         0.694
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.729             283.987            -0.257         0.401
TS               284.276             284.528            -0.251         0.406
TS_LAND          281.516             281.791            -0.275         0.437
U_200             18.208              18.732            -0.524         0.933
VT_850             0.276               0.275             0.001         0.427
Z3_500            56.581              56.682            -0.101         0.115
