DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM          -103.579            -104.347             0.768         1.782
RESSURF          -75.598             -75.826             0.228         5.397
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.524               3.552            -0.028         0.371
CLDHGH            25.649              26.192            -0.543         1.831
CLDLOW            27.217              27.795            -0.578         1.398
CLDMED            17.145              16.939             0.206         1.240
CLDTOT            44.286              44.967            -0.681         1.838
EKE_850           43.142              43.102             0.039         2.549
EP             1.491e-01           1.414e-01         7.758e-03         0.231
FLNS              65.056              64.694             0.362         1.560
FLNSC             88.010              87.792             0.218         1.169
FLNT             212.969             213.549            -0.580         1.795
FLNTC            235.681             236.541            -0.860         1.384
FSDS              91.295              90.911             0.384         1.716
FSDSC            116.688             116.571             0.117         0.416
FSNS              74.488              74.214             0.275         1.836
FSNSC             96.038              96.029             0.009         1.340
FSNSC_ICE          1.515               1.470             0.045         0.349
FSNSC_LAND        78.207              78.324            -0.116         1.972
FSNT             109.390             109.202             0.188         1.620
FSNTC            130.167             130.267            -0.099         1.271
ICEAREA           13.497              13.369             0.128         0.029
LHFLX             67.830              68.287            -0.457         3.627
LWCF              22.711              22.992            -0.280         1.215
PRECT              2.125               2.150            -0.025         0.219
PRECT_LAND         1.093               1.133            -0.040         0.147
PRECT_OCEAN        3.470               3.474            -0.005         0.286
PREH2O            11.964              12.240            -0.275         0.507
PREH2O_OCEAN      18.899              19.265            -0.366         0.603
PSI_200           -8.109              -8.152             0.043         0.200
PS               977.126             977.628            -0.503         1.065
PSL             1017.346            1017.816            -0.470         1.089
QFLX               2.274               2.292            -0.018         0.111
SHFLX             17.201              17.059             0.142         2.186
SNOWHLND           5.633               5.776            -0.143         3.276
SST               16.576              16.783            -0.207         0.305
STRESS_MAG         0.076               0.076             0.000         0.011
SWCF             -20.777             -21.064             0.287         1.246
T_850            271.486             271.783            -0.297         0.481
TGCLDLWP         121.025             123.349            -2.324         8.352
TGCLDIWP          23.618              23.652            -0.033         1.379
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           274.562             274.869            -0.307         0.564
TS               275.053             275.347            -0.294         0.568
TS_LAND          266.086             266.442            -0.356         0.690
U_200             25.264              25.852            -0.588         1.348
VT_850             0.404               0.407            -0.003         0.853
Z3_500            55.231              55.358            -0.127         0.174
