DIAG SET 1: JJA MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            52.656              51.983             0.673         3.052
RESSURF           54.917              54.823             0.094         2.793
SOLIN            445.896             445.896             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.977              -3.673            -0.304         0.534
CLDHGH            25.168              25.127             0.042         1.826
CLDLOW            37.582              37.772            -0.190         1.703
CLDMED            13.454              13.318             0.136         1.288
CLDTOT            52.424              52.498            -0.074         2.023
EKE_850           18.711              19.213            -0.503         1.224
EP            -2.350e-01          -2.552e-01         2.016e-02         0.324
FLNS              59.464              59.230             0.234         2.175
FLNSC             83.597              83.222             0.375         1.602
FLNT             249.531             250.152            -0.621         2.748
FLNTC            274.651             275.234            -0.583         1.203
FSDS             232.762             232.321             0.441         4.855
FSDSC            319.857             319.429             0.428         1.051
FSNS             197.581             197.150             0.431         4.489
FSNSC            273.575             273.338             0.237         2.555
FSNSC_ICE        126.332             128.020            -1.688         6.036
FSNSC_LAND       257.034             256.698             0.336         1.747
FSNT             302.187             302.135             0.052         3.989
FSNTC            371.575             371.730            -0.156         2.327
ICEAREA            8.721               8.611             0.110         0.028
LHFLX             55.020              54.926             0.095         3.378
LWCF              25.120              25.082             0.037         1.880
PRECT              2.161               2.181            -0.020         0.309
PRECT_LAND         2.455               2.447             0.008         0.281
PRECT_OCEAN        1.973               2.023            -0.050         0.349
PREH2O            28.546              29.045            -0.498         0.879
PREH2O_OCEAN      32.777              33.441            -0.664         0.971
PSI_200           -4.330              -4.638             0.308         0.334
PS               975.686             976.092            -0.406         0.626
PSL             1013.267            1013.670            -0.403         0.631
QFLX               1.926               1.926             0.000         0.096
SHFLX             28.180              28.171             0.009         1.695
SNOWHLND           2.278               2.440            -0.162         3.300
SST               20.232              20.439            -0.206         0.321
STRESS_MAG         0.049               0.048             0.001         0.004
SWCF             -69.387             -69.595             0.208         3.909
T_850            288.363             288.640            -0.277         0.458
TGCLDLWP         135.768             136.231            -0.463        11.384
TGCLDIWP          13.911              13.824             0.087         1.175
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           293.009             293.255            -0.246         0.405
TS               293.588             293.835            -0.247         0.417
TS_LAND          296.961             297.288            -0.328         0.509
U_200              9.154               9.620            -0.466         1.269
VT_850             0.126               0.117             0.009         0.874
Z3_500            58.124              58.220            -0.096         0.115
