DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            18.245              17.596             0.649         2.265
RESSURF           18.181              18.290            -0.109         4.427
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.973               1.413            -0.441         0.561
CLDHGH            24.728              24.416             0.312         1.898
CLDLOW            27.743              27.957            -0.214         1.333
CLDMED            15.101              14.889             0.212         1.137
CLDTOT            43.936              43.898             0.038         1.753
EKE_850           33.632              33.886            -0.254         1.902
EP             1.600e-02           2.042e-02        -4.424e-03         0.246
FLNS              69.849              69.844             0.005         1.579
FLNSC             92.707              92.547             0.159         1.109
FLNT             228.040             229.104            -1.064         2.444
FLNTC            251.439             252.090            -0.651         1.342
FSDS             209.446             209.490            -0.044         3.143
FSDSC            268.533             268.221             0.312         0.787
FSNS             165.719             165.940            -0.221         3.005
FSNSC            215.824             215.725             0.099         2.710
FSNSC_ICE         48.632              47.888             0.744         3.417
FSNSC_LAND       194.458             194.207             0.251         2.432
FSNT             246.284             246.700            -0.415         2.701
FSNTC            291.315             291.449            -0.134         2.548
ICEAREA           14.082              13.820             0.262         0.036
LHFLX             53.160              53.356            -0.196         3.470
LWCF              23.399              22.986             0.413         1.619
PRECT              1.788               1.790            -0.002         0.221
PRECT_LAND         1.542               1.528             0.014         0.172
PRECT_OCEAN        2.236               2.244            -0.008         0.278
PREH2O            15.325              15.562            -0.236         0.520
PREH2O_OCEAN      21.058              21.392            -0.335         0.653
PSI_200           -7.990              -7.939            -0.051         0.181
PS               977.096             977.375            -0.279         0.690
PSL             1015.971            1016.250            -0.278         0.701
QFLX               1.804               1.810            -0.006         0.101
SHFLX             24.528              24.450             0.078         1.944
SNOWHLND           6.337               6.499            -0.162         3.205
SST               16.531              16.740            -0.209         0.313
STRESS_MAG         0.046               0.045             0.001         0.008
SWCF             -45.030             -44.749            -0.282         2.564
T_850            277.484             277.700            -0.216         0.518
TGCLDLWP         116.605             117.178            -0.572         8.455
TGCLDIWP          20.451              20.205             0.246         1.411
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           282.182             282.381            -0.199         0.522
TS               282.714             282.905            -0.192         0.519
TS_LAND          281.213             281.350            -0.137         0.563
U_200             20.774              21.334            -0.560         1.535
VT_850             0.459               0.449             0.010         0.971
Z3_500            56.189              56.270            -0.082         0.129
