DIAG SET 1: SON MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -67.996             -68.719             0.722         1.607
RESSURF          -35.830             -36.028             0.198         4.165
SOLIN            239.469             239.469             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -1.403              -1.190            -0.214         0.481
CLDHGH            24.710              24.745            -0.035         1.842
CLDLOW            29.457              29.896            -0.439         1.370
CLDMED            14.978              14.864             0.114         1.166
CLDTOT            44.919              45.149            -0.231         1.777
EKE_850           30.030              30.433            -0.403         1.625
EP            -9.870e-03          -1.587e-02         5.998e-03         0.273
FLNS              63.747              63.449             0.298         1.807
FLNSC             86.608              86.369             0.239         1.294
FLNT             232.378             233.013            -0.635         2.361
FLNTC            256.229             256.898            -0.669         1.134
FSDS             128.880             128.547             0.333         2.561
FSDSC            168.601             168.261             0.340         0.624
FSNS             110.767             110.432             0.335         2.199
FSNSC            145.599             145.311             0.288         0.758
FSNSC_ICE         10.413              10.359             0.054         1.019
FSNSC_LAND       129.723             129.366             0.356         0.910
FSNT             164.382             164.294             0.088         2.015
FSNTC            197.662             197.647             0.016         0.546
ICEAREA            8.569               8.365             0.204         0.032
LHFLX             65.373              65.603            -0.230         3.398
LWCF              23.851              23.885            -0.034         1.726
PRECT              2.242               2.257            -0.015         0.274
PRECT_LAND         1.686               1.678             0.008         0.275
PRECT_OCEAN        2.943               2.977            -0.033         0.287
PREH2O            20.281              20.629            -0.348         0.684
PREH2O_OCEAN      26.873              27.325            -0.452         0.750
PSI_200           -6.152              -6.453             0.301         0.331
PS               976.933             977.310            -0.377         0.637
PSL             1015.821            1016.199            -0.378         0.652
QFLX               2.232               2.242            -0.009         0.105
SHFLX             17.476              17.408             0.069         1.504
SNOWHLND           2.490               2.636            -0.146         3.303
SST               19.925              20.105            -0.180         0.300
STRESS_MAG         0.048               0.047             0.001         0.007
SWCF             -33.280             -33.352             0.072         2.084
T_850            279.798             280.094            -0.296         0.449
TGCLDLWP         131.803             133.755            -1.952         9.855
TGCLDIWP          18.895              18.828             0.067         1.243
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.965             285.256            -0.291         0.485
TS               285.549             285.836            -0.287         0.496
TS_LAND          281.439             281.761            -0.322         0.547
U_200             17.790              18.269            -0.479         1.427
VT_850             0.112               0.125            -0.013         0.754
Z3_500            56.745              56.846            -0.101         0.125
