DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM           -23.194             -20.907            -2.287         6.993
RESSURF           -4.445              -3.362            -1.083         4.189
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.813               0.569             0.245         0.378
CLDHGH            25.202              25.304            -0.102         1.315
CLDLOW            39.591              39.787            -0.196         1.360
CLDMED            15.632              15.520             0.111         1.067
CLDTOT            53.497              53.643            -0.146         1.317
EKE_850           44.303              43.753             0.549         1.562
EP             1.010e-01           1.119e-01        -1.082e-02         0.237
FLNS              59.879              58.932             0.947         1.692
FLNSC             88.565              87.372             1.193         1.855
FLNT             225.010             226.541            -1.530         2.118
FLNTC            249.041             250.818            -1.777         1.866
FSDS             168.156             166.216             1.940         3.947
FSDSC            226.413             225.229             1.185         1.589
FSNS             138.497             141.988            -3.491         7.684
FSNSC            188.744             194.287            -5.543        11.395
FSNSC_ICE         60.659              60.553             0.106         4.341
FSNSC_LAND       129.921             129.656             0.265         0.641
FSNT             201.816             205.633            -3.817         7.480
FSNTC            247.576             253.447            -5.870        11.108
ICEAREA           11.630              10.475             1.154         0.057
LHFLX             70.793              74.129            -3.337         6.555
LWCF              24.031              24.277            -0.246         1.346
PRECT              2.294               2.399            -0.105         0.282
PRECT_LAND         1.670               1.708            -0.038         0.143
PRECT_OCEAN        2.472               2.592            -0.120         0.317
PREH2O            17.310              18.625            -1.315         1.683
PREH2O_OCEAN      19.660              21.052            -1.392         1.866
PSI_200            7.269               7.311            -0.042         0.102
PS               983.602             983.464             0.138         0.608
PSL             1007.310            1007.128             0.182         0.609
QFLX               2.395               2.510            -0.116         0.217
SHFLX             12.271              12.289            -0.018         1.685
SNOWHLND          46.966              46.917             0.049         1.086
SST               14.848              15.721            -0.873         0.954
STRESS_MAG         0.094               0.091             0.002         0.007
SWCF             -45.760             -47.814             2.053         4.400
T_850            276.327             277.172            -0.845         0.884
TGCLDLWP         141.560             145.055            -3.495         9.543
TGCLDIWP          20.251              19.968             0.283         1.146
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.346             282.225            -0.879         0.934
TS               281.875             282.780            -0.905         0.981
TS_LAND          266.696             267.639            -0.944         0.974
U_200             25.586              25.516             0.070         0.942
VT_850            -0.212              -0.202            -0.010         0.706
Z3_500            55.239              55.411            -0.172         0.183
