DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            72.289              76.714            -4.426        10.540
RESSURF           81.505              84.331            -2.825         6.740
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -3.039              -3.061             0.022         0.400
CLDHGH            20.838              21.000            -0.162         1.619
CLDLOW            42.806              42.835            -0.029         2.025
CLDMED            13.622              13.676            -0.055         1.535
CLDTOT            53.198              53.361            -0.163         2.026
EKE_850           29.989              29.365             0.625         1.965
EP            -3.608e-02          -2.313e-02        -1.295e-02         0.397
FLNS              55.744              54.556             1.188         2.473
FLNSC             85.145              83.506             1.639         2.423
FLNT             236.056             237.420            -1.364         2.512
FLNTC            258.346             259.965            -1.618         1.823
FSDS             261.783             258.873             2.910         6.853
FSDSC            355.915             354.094             1.821         2.404
FSNS             210.943             216.234            -5.291        11.745
FSNSC            292.713             301.032            -8.319        16.800
FSNSC_ICE        121.815             122.513            -0.697         9.692
FSNSC_LAND       190.673             190.654             0.019         1.512
FSNT             308.345             314.134            -5.789        11.376
FSNTC            381.232             390.057            -8.825        16.370
ICEAREA            7.639               6.689             0.950         0.054
LHFLX             62.844              66.383            -3.539         7.669
LWCF              22.290              22.545            -0.255         1.669
PRECT              2.189               2.299            -0.110         0.383
PRECT_LAND         2.740               2.805            -0.065         0.363
PRECT_OCEAN        2.103               2.226            -0.123         0.400
PREH2O            21.470              23.098            -1.628         2.165
PREH2O_OCEAN      23.169              24.809            -1.640         2.346
PSI_200            6.610               6.573             0.037         0.122
PS               983.811             983.550             0.260         0.620
PSL             1007.113            1006.810             0.303         0.632
QFLX               2.153               2.275            -0.122         0.241
SHFLX             10.850              10.964            -0.115         1.666
SNOWHLND          46.929              46.878             0.051         1.071
SST               16.200              17.131            -0.931         1.050
STRESS_MAG         0.082               0.080             0.002         0.007
SWCF             -72.887             -75.923             3.035         7.277
T_850            279.562             280.395            -0.834         0.902
TGCLDLWP         145.670             148.288            -2.619        12.675
TGCLDIWP          16.472              16.184             0.288         1.229
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.051             285.884            -0.833         0.920
TS               285.533             286.399            -0.865         0.983
TS_LAND          276.409             277.203            -0.794         0.863
U_200             19.627              19.668            -0.041         0.953
VT_850            -0.097              -0.084            -0.012         0.824
Z3_500            55.968              56.131            -0.163         0.172
