DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM          -110.699            -110.464            -0.235         4.139
RESSURF          -82.706             -83.779             1.073         7.547
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.624               4.321             0.303         0.515
CLDHGH            31.357              31.296             0.062         1.926
CLDLOW            37.774              38.043            -0.269         1.582
CLDMED            17.527              17.388             0.139         1.402
CLDTOT            56.205              56.210            -0.004         1.586
EKE_850           55.237              55.165             0.072         2.625
EP             1.826e-01           1.895e-01        -6.957e-03         0.293
FLNS              62.757              62.041             0.716         1.796
FLNSC             91.709              90.902             0.808         1.800
FLNT             214.730             216.280            -1.550         2.418
FLNTC            241.341             243.125            -1.783         1.988
FSDS              81.728              80.659             1.069         2.493
FSDSC            108.835             108.239             0.596         0.905
FSNS              71.116              72.718            -1.602         4.173
FSNSC             94.392              97.055            -2.662         6.034
FSNSC_ICE          2.515               2.259             0.256         0.310
FSNSC_LAND        77.370              77.110             0.259         0.586
FSNT             104.032             105.817            -1.785         4.086
FSNTC            126.544             129.407            -2.863         5.959
ICEAREA           15.128              13.821             1.306         0.084
LHFLX             77.670              81.083            -3.414         7.205
LWCF              26.611              26.844            -0.233         1.698
PRECT              2.430               2.542            -0.112         0.314
PRECT_LAND         0.883               0.932            -0.050         0.177
PRECT_OCEAN        2.859               2.978            -0.119         0.351
PREH2O            13.641              14.660            -1.019         1.333
PREH2O_OCEAN      16.145              17.211            -1.066         1.475
PSI_200            7.254               7.478            -0.224         0.268
PS               983.713             983.656             0.057         0.900
PSL             1007.703            1007.605             0.098         0.898
QFLX               2.612               2.731            -0.119         0.233
SHFLX             13.395              13.373             0.022         3.093
SNOWHLND          46.988              46.938             0.051         1.121
SST               13.335              14.139            -0.804         0.872
STRESS_MAG         0.105               0.102             0.003         0.012
SWCF             -22.512             -23.590             1.078         2.574
T_850            273.442             274.259            -0.816         0.875
TGCLDLWP         140.047             144.728            -4.681        11.241
TGCLDIWP          23.130              22.868             0.262         1.673
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           278.225             279.114            -0.889         0.994
TS               278.800             279.708            -0.908         1.045
TS_LAND          259.412             260.354            -0.942         0.999
U_200             30.515              30.399             0.115         1.684
VT_850            -0.363              -0.339            -0.025         0.999
Z3_500            54.626              54.793            -0.167         0.194
