DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            17.809              21.161            -3.352         9.161
RESSURF           29.217              31.895            -2.678         6.853
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.916               1.731             0.185         0.367
CLDHGH            24.658              24.746            -0.088         2.028
CLDLOW            38.978              39.164            -0.186         1.736
CLDMED            15.258              15.112             0.146         1.462
CLDTOT            52.621              52.709            -0.088         1.899
EKE_850           42.251              42.389            -0.137         1.994
EP             1.171e-01           1.255e-01        -8.430e-03         0.304
FLNS              62.214              61.427             0.786         1.931
FLNSC             90.906              89.984             0.922         1.682
FLNT             223.179             224.725            -1.546         2.611
FLNTC            246.225             248.019            -1.794         1.947
FSDS             208.373             206.158             2.214         5.518
FSDSC            276.983             275.654             1.329         1.831
FSNS             166.916             171.527            -4.611        10.339
FSNSC            225.017             232.214            -7.197        14.896
FSNSC_ICE         62.494              62.715            -0.221         6.432
FSNSC_LAND       149.456             149.126             0.330         0.691
FSNT             240.988             245.886            -4.898         9.834
FSNTC            292.813             300.253            -7.440        14.298
ICEAREA           15.364              14.119             1.245         0.087
LHFLX             62.713              65.454            -2.741         6.149
LWCF              23.046              23.294            -0.248         1.933
PRECT              1.992               2.079            -0.087         0.314
PRECT_LAND         1.523               1.572            -0.050         0.206
PRECT_OCEAN        2.107               2.209            -0.102         0.351
PREH2O            15.254              16.284            -1.030         1.399
PREH2O_OCEAN      17.486              18.551            -1.065         1.548
PSI_200            7.283               7.490            -0.207         0.241
PS               983.408             983.167             0.240         0.835
PSL             1007.087            1006.808             0.279         0.819
QFLX               2.109               2.205            -0.096         0.198
SHFLX             12.773              12.750             0.023         2.298
SNOWHLND          47.005              46.969             0.036         0.948
SST               13.214              14.014            -0.799         0.876
STRESS_MAG         0.104               0.101             0.003         0.008
SWCF             -51.825             -54.367             2.542         6.037
T_850            275.059             275.880            -0.821         0.881
TGCLDLWP         134.687             138.252            -3.565        12.410
TGCLDIWP          20.779              20.575             0.204         1.690
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.934             280.755            -0.822         0.901
TS               280.412             281.254            -0.842         0.938
TS_LAND          266.712             267.692            -0.980         1.043
U_200             27.414              27.424            -0.010         1.178
VT_850            -0.240              -0.239            -0.001         1.144
Z3_500            54.950              55.104            -0.154         0.177
