DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            54.313              52.871             1.441         3.451
RESSURF           16.102              14.977             1.125         5.783
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.572              -0.571            -0.001         0.590
CLDHGH            38.398              37.749             0.648         2.373
CLDLOW            27.730              27.403             0.327         1.752
CLDMED            17.444              17.406             0.038         2.042
CLDTOT            53.524              52.883             0.641         2.224
EKE_850           11.142              10.875             0.266         1.738
EP            -9.521e-02          -9.341e-02        -1.806e-03         0.724
FLNS              54.213              53.367             0.845         2.027
FLNSC             69.979              68.416             1.564         2.293
FLNT             241.971             243.793            -1.822         3.901
FLNTC            282.372             283.552            -1.180         1.616
FSDS             219.028             218.858             0.170         5.052
FSDSC            295.864             294.996             0.867         1.258
FSNS             203.162             202.959             0.202         4.743
FSNSC            275.450             274.630             0.821         1.160
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       248.494             247.759             0.735         1.538
FSNT             296.284             296.665            -0.380         4.433
FSNTC            365.671             365.622             0.049         0.282
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            116.461             118.261            -1.800         6.284
LWCF              40.400              39.759             0.641         2.709
PRECT              4.131               4.191            -0.060         0.690
PRECT_LAND         4.502               4.451             0.051         0.560
PRECT_OCEAN        4.007               4.102            -0.095         0.727
PREH2O            41.580              43.385            -1.805         2.284
PREH2O_OCEAN      43.611              45.665            -2.055         2.448
PSI_200            1.462               1.541            -0.079         0.142
PS               994.888             995.011            -0.123         0.330
PSL             1009.612            1009.727            -0.115         0.325
QFLX               4.036               4.098            -0.062         0.167
SHFLX             16.386              16.354             0.033         1.745
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.409              27.987            -0.579         0.623
STRESS_MAG         0.059               0.057             0.001         0.006
SWCF             -69.387             -68.958            -0.429         4.482
T_850            290.128             290.726            -0.597         0.638
TGCLDLWP         139.632             139.850            -0.218        14.666
TGCLDIWP          12.508              12.154             0.354         1.510
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.945             299.515            -0.569         0.610
TS               299.872             300.431            -0.559         0.609
TS_LAND          297.511             298.015            -0.504         0.572
U_200              3.936               3.613             0.323         1.157
VT_850            -2.144              -2.237             0.093         0.659
Z3_500            58.515              58.669            -0.154         0.155
