DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            29.698              29.244             0.455         3.117
RESSURF           -2.677              -2.407            -0.270         5.916
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.526              -0.518            -0.008         0.682
CLDHGH            34.727              34.592             0.134         2.364
CLDLOW            32.147              31.760             0.388         1.965
CLDMED            16.710              16.371             0.340         2.142
CLDTOT            54.203              53.899             0.304         2.194
EKE_850           10.535              10.521             0.014         1.029
EP             8.826e-02           9.910e-02        -1.084e-02         0.749
FLNS              50.204              49.199             1.005         1.802
FLNSC             66.664              65.029             1.635         2.027
FLNT             245.532             246.958            -1.426         3.507
FLNTC            283.088             284.190            -1.102         1.475
FSDS             198.319             198.566            -0.247         4.661
FSDSC            275.996             274.918             1.078         1.405
FSNS             183.913             184.094            -0.181         4.322
FSNSC            256.726             255.713             1.013         1.319
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       231.965             230.556             1.409         1.988
FSNT             275.230             276.201            -0.971         4.294
FSNTC            344.483             344.406             0.077         0.324
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            119.378             120.489            -1.111         6.464
LWCF              37.556              37.232             0.324         2.611
PRECT              4.024               4.050            -0.026         0.692
PRECT_LAND         3.537               3.443             0.094         0.473
PRECT_OCEAN        4.170               4.235            -0.065         0.748
PREH2O            43.842              45.632            -1.790         2.063
PREH2O_OCEAN      45.364              47.314            -1.950         2.210
PSI_200           -3.076              -2.991            -0.086         0.177
PS               997.450             997.431             0.019         0.286
PSL             1012.193            1012.161             0.031         0.279
QFLX               4.112               4.149            -0.037         0.160
SHFLX             17.009              16.813             0.196         1.747
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.284              27.875            -0.592         0.642
STRESS_MAG         0.072               0.070             0.002         0.007
SWCF             -69.253             -68.205            -1.048         4.470
T_850            290.458             291.118            -0.660         0.696
TGCLDLWP         148.604             146.280             2.324        15.526
TGCLDIWP          11.693              11.452             0.241         1.396
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.144             299.754            -0.610         0.649
TS               300.023             300.629            -0.607         0.656
TS_LAND          298.539             299.211            -0.672         0.717
U_200              0.616               1.562            -0.946         1.477
VT_850             3.072               2.845             0.227         0.590
Z3_500            58.837              58.973            -0.136         0.137
