DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            56.869              55.864             1.005         2.664
RESSURF           23.298              23.246             0.052         5.572
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.604              -0.605             0.001         0.691
CLDHGH            37.767              37.424             0.343         2.524
CLDLOW            28.021              27.704             0.317         1.714
CLDMED            16.304              16.168             0.136         1.984
CLDTOT            53.134              52.732             0.402         2.158
EKE_850           10.644              10.317             0.326         1.363
EP            -8.858e-02          -1.121e-01         2.351e-02         0.683
FLNS              52.126              51.370             0.756         1.737
FLNSC             67.718              66.375             1.343         2.004
FLNT             243.777             245.235            -1.458         3.921
FLNTC            283.619             284.732            -1.113         1.591
FSDS             222.226             222.175             0.052         4.279
FSDSC            295.443             294.667             0.776         1.147
FSNS             206.154             206.058             0.095         3.992
FSNSC            275.181             274.424             0.757         1.035
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       247.409             246.649             0.760         1.344
FSNT             300.646             301.098            -0.452         3.775
FSNTC            366.375             366.304             0.070         0.312
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            113.347             114.058            -0.711         6.275
LWCF              39.843              39.498             0.345         2.859
PRECT              4.016               4.067            -0.051         0.624
PRECT_LAND         4.344               4.283             0.061         0.499
PRECT_OCEAN        3.909               3.995            -0.086         0.659
PREH2O            43.989              45.627            -1.638         2.093
PREH2O_OCEAN      45.704              47.532            -1.828         2.255
PSI_200            0.006               0.177            -0.170         0.215
PS               995.572             995.609            -0.037         0.252
PSL             1010.256            1010.281            -0.025         0.246
QFLX               3.928               3.955            -0.028         0.158
SHFLX             17.383              17.384            -0.001         1.636
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.952              28.501            -0.549         0.612
STRESS_MAG         0.054               0.051             0.003         0.007
SWCF             -65.729             -65.206            -0.523         3.893
T_850            291.174             291.737            -0.563         0.598
TGCLDLWP         126.385             125.718             0.666        11.719
TGCLDIWP          11.873              11.600             0.273         1.349
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.776             300.318            -0.542         0.587
TS               300.802             301.352            -0.550         0.606
TS_LAND          299.736             300.306            -0.570         0.603
U_200              5.944               5.265             0.679         1.305
VT_850             0.368               0.210             0.158         0.548
Z3_500            58.712              58.844            -0.131         0.132
