DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: corey30 (yrs 2050-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.001 (yrs 2050-2069)
 
Variable          corey30        b.e11.TSREFC2.f09.g16.ccmi23.001        corey30        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.001
RESTOM            56.640              55.723             0.917         3.019
RESSURF           27.069              26.439             0.630         5.229
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.449              -0.471             0.022         0.530
CLDHGH            35.524              35.220             0.304         2.434
CLDLOW            30.305              29.924             0.381         1.772
CLDMED            16.964              16.813             0.151         2.047
CLDTOT            53.689              53.189             0.500         2.119
EKE_850           11.022              11.024            -0.002         1.292
EP            -2.177e-01          -2.224e-01         4.624e-03         0.658
FLNS              51.148              50.341             0.807         1.866
FLNSC             67.683              66.148             1.536         2.041
FLNT             244.849             246.440            -1.591         3.757
FLNTC            282.789             284.005            -1.216         1.566
FSDS             222.063             222.077            -0.014         4.585
FSDSC            301.101             300.113             0.988         1.238
FSNS             206.527             206.492             0.036         4.268
FSNSC            280.974             280.033             0.940         1.187
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       255.003             253.615             1.387         1.841
FSNT             301.489             302.163            -0.674         4.056
FSNTC            372.029             371.985             0.044         0.329
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            110.326             111.829            -1.503         5.726
LWCF              37.940              37.565             0.375         2.763
PRECT              4.058               4.115            -0.057         0.619
PRECT_LAND         4.769               4.703             0.066         0.480
PRECT_OCEAN        3.826               3.924            -0.098         0.656
PREH2O            43.298              45.068            -1.771         2.056
PREH2O_OCEAN      44.404              46.308            -1.905         2.167
PSI_200           -1.234              -1.139            -0.095         0.158
PS               995.840             996.012            -0.172         0.313
PSL             1010.523            1010.687            -0.164         0.304
QFLX               3.840               3.893            -0.053         0.148
SHFLX             17.984              17.883             0.101         1.925
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.223              27.831            -0.608         0.653
STRESS_MAG         0.055               0.053             0.002         0.006
SWCF             -70.540             -69.822            -0.718         4.192
T_850            290.643             291.280            -0.638         0.672
TGCLDLWP         138.188             137.629             0.559        12.055
TGCLDIWP          11.778              11.491             0.287         1.318
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.263             299.862            -0.599         0.632
TS               300.231             300.839            -0.608         0.653
TS_LAND          299.629             300.248            -0.620         0.668
U_200              1.465               2.156            -0.691         1.241
VT_850             0.290               0.138             0.152         0.560
Z3_500            58.666              58.820            -0.153         0.154
